"Дата";"Регион";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день"
17.06.2021;Москва;1260089;1106615;21198;73;6195;3636
15.12.2021;Москва;1991707;1822086;35558;87;2459;3066
21.05.2021;Москва;1151462;1038332;19532;58;2954;2593
02.10.2020;Москва;297729;251018;5282;28;2704;1157
10.12.2021;Москва;1978376;1805490;35124;89;3477;3372
02.05.2021;Москва;1098718;994965;18428;54;2699;1617
23.06.2020;Москва;216095;139248;3643;26;1081;2578
21.08.2020;Москва;255826;202727;4710;12;690;1160
08.03.2021;Москва;991816;912146;15447;53;1421;1037
29.01.2022;Москва;2309904;1951552;38810;76;26488;5410
27.01.2021;Москва;919662;791320;13175;75;1837;5924
19.10.2021;Москва;1731937;1540144;30305;73;5700;3988
08.05.2020;Москва;98522;10259;956;51;5846;1032
08.10.2021;Москва;1668064;1507468;29525;71;4595;2288
03.02.2021;Москва;935355;829844;13634;65;1545;5221
31.05.2020;Москва;180791;80179;2477;69;2595;1855
26.08.2021;Москва;1560501;1436829;27193;54;1712;2463
02.11.2020;Москва;434205;318032;6873;53;4796;3241
15.12.2020;Москва;703502;539859;10022;77;5418;5307
18.07.2021;Москва;1463135;1281319;24381;106;4357;7283
11.04.2020;Москва;8852;499;58;8;1030;149
16.12.2021;Москва;1995029;1825126;35643;85;3322;3040
16.06.2021;Москва;1253894;1102979;21125;75;5782;3381
10.09.2020;Москва;269079;226274;4947;14;695;1434
09.12.2021;Москва;1974899;1802118;35035;92;2948;3171
01.10.2020;Москва;295025;249861;5254;24;2424;1211
22.05.2021;Москва;1154115;1040760;19592;60;2653;2428
24.06.2020;Москва;216906;141268;3657;14;811;2020
01.05.2021;Москва;1096019;993348;18374;59;3208;1929
28.01.2022;Москва;2283416;1946142;38734;74;23994;5323
09.03.2021;Москва;992882;913173;15496;49;1066;1027
20.08.2020;Москва;255136;201567;4698;11;688;1208
09.05.2020;Москва;104189;12779;1010;54;5667;2520
18.10.2021;Москва;1726237;1536156;30232;69;6823;3237
28.01.2021;Москва;922559;797462;13237;62;2897;6142
30.05.2020;Москва;178196;78324;2408;78;2367;3599
02.02.2021;Москва;933810;824623;13569;74;1701;5012
09.10.2021;Москва;1674065;1509679;29595;70;6001;2211
03.11.2020;Москва;439355;321679;6936;63;5150;3647
25.08.2021;Москва;1558789;1434366;27139;52;1402;2299
10.04.2020;Москва;7822;350;50;12;1124;37
19.07.2021;Москва;1467142;1288984;24484;103;4007;7665
14.12.2020;Москва;698084;534552;9945;75;5874;4932
08.12.2021;Москва;1971951;1798947;34943;90;3004;3007
23.05.2021;Москва;1157039;1042788;19648;56;2924;2028
04.10.2020;Москва;303940;253031;5343;29;3327;944
17.12.2021;Москва;1997784;1828635;35726;83;2755;3509
07.09.2020;Москва;267047;222252;4905;14;690;882
15.06.2021;Москва;1248112;1099598;21050;71;6805;3045
31.01.2022;Москва;2357351;1962382;38962;75;23417;5805
19.08.2020;Москва;254448;200359;4687;10;691;1242
06.03.2021;Москва;988861;909692;15347;50;1820;1922
04.05.2021;Москва;1103403;997957;18547;61;2050;1584
25.06.2020;Москва;217791;142194;3669;12;885;926
02.06.2020;Москва;185374;88269;2624;71;2286;6030
10.10.2021;Москва;1678675;1511856;29667;72;4610;2177
05.02.2021;Москва;939482;839832;13772;71;2032;4664
06.05.2020;Москва;85973;8458;866;50;5858;588
25.01.2021;Москва;915508;779824;13030;61;2382;5274
17.10.2021;Москва;1719414;1532919;30163;70;6740;3206
09.04.2020;Москва;6698;313;38;7;857;43
13.12.2020;Москва;692210;529620;9870;72;6425;4841
16.07.2021;Москва;1454217;1266393;24173;105;5382;8032
28.08.2021;Москва;1563508;1441166;27299;55;1498;2040
04.11.2020;Москва;445181;325531;7004;68;5826;3852
03.10.2020;Москва;300613;252087;5314;32;2884;1069
24.05.2021;Москва;1159526;1044518;19707;59;2487;1730
07.12.2021;Москва;1968947;1795940;34853;94;2573;2969
14.06.2021;Москва;1241307;1096553;20979;72;6590;2815
08.09.2020;Москва;267742;223502;4921;16;695;1250
18.12.2021;Москва;2000067;1831571;35805;79;2283;2936
07.03.2021;Москва;990395;911109;15394;47;1534;1417
18.08.2020;Москва;253757;199117;4677;11;693;1155
30.01.2022;Москва;2333934;1956577;38887;77;24030;5025
26.06.2020;Москва;218604;144191;3694;25;813;1997
03.05.2021;Москва;1101353;996373;18486;58;2635;1408
04.02.2021;Москва;937450;835168;13701;67;2095;5324
11.10.2021;Москва;1683677;1514140;29738;71;5002;2284
01.06.2020;Москва;183088;82239;2553;76;2297;2060
16.10.2021;Москва;1712674;1529713;30093;72;6545;3637
26.01.2021;Москва;917825;785396;13100;70;2317;5572
07.05.2020;Москва;92676;9227;905;39;6703;769
17.07.2021;Москва;1458778;1274036;24275;102;4561;7643
12.12.2020;Москва;685785;524779;9798;76;6622;5890
08.04.2020;Москва;5841;270;31;0;660;48
05.11.2020;Москва;450436;329201;7071;67;5255;3670
27.08.2021;Москва;1562010;1439126;27244;51;1509;2297
16.07.2020;Москва;231801;168955;4258;24;531;1145
05.04.2021;Москва;1036443;950658;16922;50;1876;815
